id,actor_id,action,target_type,target_id,old_value,new_value,created_at
"f01e4906-7244-481e-a3a1-9f8db01e2b97","f59dc375-16b1-4c5d-a2b0-786c31189de6","UPDATE_ROOM","ROOM","68ee9e92-49a9-47b3-96e5-b03611d6e30c","{}","{"status": "test"}","2026-06-18T18:56:48.727Z"
"e0e81a60-0355-4374-ad1c-9cad9d1a7488","bb5be24f-bdbe-48fd-be27-d5ef8cbf6908","LOGIN","USER","2aa8d47c-6c02-4ea5-bf16-9a9515ac96dd","{}","{"status": "test"}","2026-05-24T03:21:02.764Z"
"3e5590ff-f7e6-49f6-a458-aa070b83b776","58e00574-8f03-4147-9488-c7beb2525ebc","CREATE_TENANT","TENANT","00c8ef1f-93d1-4683-825a-79d07a5878c1","{}","{"status": "test"}","2026-07-12T18:38:33.968Z"
"9e5fc434-be54-4017-97a7-5ab8b3f2099f","58e00574-8f03-4147-9488-c7beb2525ebc","CREATE_TENANT","TENANT","7aed889e-b85d-4408-a953-b559601fb98e","{}","{"status": "test"}","2026-06-04T16:03:20.534Z"
"93709e9b-1540-4dc6-89a4-9f590ac46a5a","58e00574-8f03-4147-9488-c7beb2525ebc","CREATE_TENANT","TENANT","05e886f6-74f1-4635-90fd-c9a3ca9010cb","{}","{"status": "test"}","2026-06-24T08:16:22.329Z"
"10ce2acc-5722-435a-b4c1-b536f11178d1","bb5be24f-bdbe-48fd-be27-d5ef8cbf6908","CREATE_ROOM","ROOM","3c933283-18d6-4080-bacb-990d88008eaa","{}","{"status": "test"}","2026-08-15T14:47:04.865Z"
"7ebca7da-4194-4128-b234-a922afe655c2","189d0fa7-8e9b-4e9d-bbae-5b13808e930d","LOCK_USER","USER","a52371d8-8fab-4e6d-bdf2-641c9699a4bc","{}","{"status": "test"}","2026-06-29T05:45:53.258Z"
"eebca580-1253-4f8e-9c83-e53dca52bafa","58e00574-8f03-4147-9488-c7beb2525ebc","CREATE_ROOM","ROOM","6e583240-4f73-4130-a613-9133dcf86963","{}","{"status": "test"}","2026-06-07T17:41:01.068Z"
"a481177e-0413-459b-bf64-116d3e1c7402","bb5be24f-bdbe-48fd-be27-d5ef8cbf6908","CREATE_ROOM","ROOM","fd4d52e9-6711-4c87-acfd-eaaf34363385","{}","{"status": "test"}","2026-07-26T16:41:22.657Z"
"d5533330-7464-45ca-9ffd-58bbd5270975","b9d58402-74ea-4b46-88ff-c1d95c31525c","CREATE_TENANT","TENANT","b855efef-ddf4-4eeb-83ee-fc044c40b8fc","{}","{"status": "test"}","2026-05-31T16:46:39.891Z"
"8ff0f6f4-d2ed-4b1f-bbdd-3eba3aff6cc8","58e00574-8f03-4147-9488-c7beb2525ebc","LOGIN","USER","b19a0a3a-ac7e-49d9-b951-c2416a0f13d6","{}","{"status": "test"}","2026-05-18T07:30:18.498Z"
"6a6a188d-64f1-4a32-b10a-a17e8272c935","f59dc375-16b1-4c5d-a2b0-786c31189de6","CREATE_ROOM","ROOM","762e933a-b1c4-4f3e-ac6c-0aa19801f7a1","{}","{"status": "test"}","2026-07-09T18:52:39.808Z"
"238de9e4-7528-4189-96b3-993ef9aaac48","58e00574-8f03-4147-9488-c7beb2525ebc","LOGIN","USER","f22bbb03-34ad-405f-a5c4-50e7f07058f1","{}","{"status": "test"}","2026-07-29T06:45:11.828Z"
"3d33c3af-b4c8-4242-be31-3b117fe44de8","b9d58402-74ea-4b46-88ff-c1d95c31525c","CREATE_CONTRACT","USER","750a7653-d729-4121-997b-fc20c213188d","{}","{"status": "test"}","2026-08-19T21:58:56.995Z"
"8cfd6aee-8d51-4cdd-824d-9ce0b7bf98fc","189d0fa7-8e9b-4e9d-bbae-5b13808e930d","LOGIN","USER","d4237e61-6990-415e-9a71-e1e7fb7408f2","{}","{"status": "test"}","2026-06-06T03:31:45.549Z"
"71bcaf16-25a4-4a1e-a22d-598119d1f7bb","bb5be24f-bdbe-48fd-be27-d5ef8cbf6908","CREATE_CONTRACT","USER","a4ee72c3-6f9b-45cc-afd4-aa6d5c6fce6f","{}","{"status": "test"}","2026-06-04T23:45:50.196Z"
"3013a1a8-fb29-40d9-ac21-e7db2a671ecb","189d0fa7-8e9b-4e9d-bbae-5b13808e930d","CREATE_TENANT","TENANT","e5bbbb20-09dd-49ba-a6c7-383538d67ad1","{}","{"status": "test"}","2026-05-27T10:25:43.885Z"
"5cb324af-2da7-4c36-a57e-35204352330d","189d0fa7-8e9b-4e9d-bbae-5b13808e930d","CREATE_TENANT","TENANT","2d0ecad5-cc26-4f7e-b9c7-8c283c6b1a95","{}","{"status": "test"}","2026-08-02T11:34:39.961Z"
"30f8a905-b354-4353-9a2f-4a22bab006fe","189d0fa7-8e9b-4e9d-bbae-5b13808e930d","UPDATE_ROOM","ROOM","c745fe2e-38c6-44f1-a427-8d309593d080","{}","{"status": "test"}","2026-08-26T00:26:17.219Z"
"c879567c-dbca-4e6f-8c36-e26afd4f1f4f","189d0fa7-8e9b-4e9d-bbae-5b13808e930d","LOCK_USER","USER","7fe031ff-62d5-40c0-9a5f-3b97d7baf9a8","{}","{"status": "test"}","2026-06-22T17:18:41.575Z"
"5515d690-0dc2-4673-a345-e0d593509973","189d0fa7-8e9b-4e9d-bbae-5b13808e930d","CREATE_ROOM","ROOM","0f874b71-2c52-4bed-beb9-fb3a4c26c23f","{}","{"status": "test"}","2026-07-09T15:56:45.812Z"
"9d6879f2-f364-433f-a380-c3617e50c918","f59dc375-16b1-4c5d-a2b0-786c31189de6","CREATE_TENANT","TENANT","1af16831-39f8-44ce-83b2-6bc99b44f715","{}","{"status": "test"}","2026-05-25T00:24:37.467Z"
"be30b587-6027-4f87-8e96-918ebbb07969","f59dc375-16b1-4c5d-a2b0-786c31189de6","LOCK_USER","USER","9462d2ac-7d41-413d-ac5f-d353d2da6fe8","{}","{"status": "test"}","2026-08-23T09:28:10.852Z"
"afeb0452-76b9-43a9-9522-e958cac9a85a","b9d58402-74ea-4b46-88ff-c1d95c31525c","LOGIN","USER","d3aa067a-c614-4c09-a9a4-666ef114ae36","{}","{"status": "test"}","2026-07-15T06:32:03.932Z"
"8fd1ab67-0f46-407d-bb05-34e3c7bd28fd","b9d58402-74ea-4b46-88ff-c1d95c31525c","CREATE_ROOM","ROOM","6c9bb874-cd69-4e64-ba69-e06d39639193","{}","{"status": "test"}","2026-06-26T23:47:22.492Z"
"a2bd104f-600c-45d9-bd14-0bf4a4b18d9b","f59dc375-16b1-4c5d-a2b0-786c31189de6","CREATE_CONTRACT","USER","eaeedde8-6d5c-4d51-a716-6be20077ce47","{}","{"status": "test"}","2026-06-16T10:15:27.035Z"
"32b7e5a4-11f8-4149-9262-cdd04b7699e6","f59dc375-16b1-4c5d-a2b0-786c31189de6","LOCK_USER","USER","7892cb56-586d-407a-a7c5-de6bd714276c","{}","{"status": "test"}","2026-08-14T18:12:34.914Z"
"1e5a2dfe-4f56-448b-b42c-07c6bdabf5c7","bb5be24f-bdbe-48fd-be27-d5ef8cbf6908","LOGIN","USER","e579199f-217b-4453-98e1-a35426e4de20","{}","{"status": "test"}","2026-08-27T21:53:14.638Z"
"b1c8b395-37c6-41fb-a0ef-4ca8cc2568f0","189d0fa7-8e9b-4e9d-bbae-5b13808e930d","UPDATE_ROOM","ROOM","f3d73423-e7ec-4300-b389-9226f90ed238","{}","{"status": "test"}","2026-07-05T05:43:19.001Z"
"a86077df-c6bd-47ea-8add-973ba3414977","189d0fa7-8e9b-4e9d-bbae-5b13808e930d","UPDATE_ROOM","ROOM","9b8916ca-e43c-45b0-bb68-8f2ba3354cb5","{}","{"status": "test"}","2026-05-09T03:46:22.765Z"
"c0d7530c-0b69-4d80-8223-b9eb564de3e1","f59dc375-16b1-4c5d-a2b0-786c31189de6","LOGIN","USER","b1964847-084b-4f7a-96ea-f8d44ee44520","{}","{"status": "test"}","2026-05-31T22:04:55.359Z"
"630a5a8b-89ed-4383-8462-bc005b29559f","58e00574-8f03-4147-9488-c7beb2525ebc","CREATE_CONTRACT","USER","67471211-5679-4218-9e5f-2b52e82740ed","{}","{"status": "test"}","2026-06-30T11:17:37.692Z"
"6a7312ac-a468-49d5-b40e-9d4940814664","58e00574-8f03-4147-9488-c7beb2525ebc","CREATE_ROOM","ROOM","52c47b96-612e-4387-976b-e0be722bcc86","{}","{"status": "test"}","2026-08-04T23:56:46.102Z"
"af9254f6-0e8f-4b85-96f3-036f12a5b0a9","58e00574-8f03-4147-9488-c7beb2525ebc","CREATE_CONTRACT","USER","5e2adad9-8cde-4508-bb19-eb8942a118ff","{}","{"status": "test"}","2026-05-20T00:39:07.017Z"
"b24f3229-e226-41fc-bbcf-71346e7ce2ac","bb5be24f-bdbe-48fd-be27-d5ef8cbf6908","UPDATE_ROOM","ROOM","00668d37-df39-4d6e-ab94-13c282c147d5","{}","{"status": "test"}","2026-06-21T22:02:21.342Z"
"7eaa4c02-062d-48c9-b782-3dc4dbad22f9","b9d58402-74ea-4b46-88ff-c1d95c31525c","LOCK_USER","USER","8ac217fc-e911-469b-a9d9-f30738a51f63","{}","{"status": "test"}","2026-06-03T04:55:18.860Z"
"0e4fefea-254c-4056-9904-de745b10dfe8","bb5be24f-bdbe-48fd-be27-d5ef8cbf6908","CREATE_TENANT","TENANT","122b1259-63c3-4e3e-8a0d-0f155029bbc0","{}","{"status": "test"}","2026-06-01T10:36:52.389Z"
"3d08fc2f-5e2f-4923-b48b-7f856ba01e13","f59dc375-16b1-4c5d-a2b0-786c31189de6","LOGIN","USER","ddb2fb1d-adcd-439f-a6ec-c3ed390689c9","{}","{"status": "test"}","2026-07-30T09:30:33.977Z"
"a02bf286-7b43-455d-b448-64c7294fa947","f59dc375-16b1-4c5d-a2b0-786c31189de6","UPDATE_ROOM","ROOM","419db3d4-2567-41b8-96b2-c1df09e632b5","{}","{"status": "test"}","2026-05-29T01:26:46.680Z"
"c509319a-9e70-40c0-a9cb-9c0fec364f7a","bb5be24f-bdbe-48fd-be27-d5ef8cbf6908","UPDATE_ROOM","ROOM","a8adcb06-3845-4bd1-8fbe-7c58c3167e75","{}","{"status": "test"}","2026-05-31T13:01:31.561Z"
"68d9b69f-3c79-4acf-845a-5222294bb620","f59dc375-16b1-4c5d-a2b0-786c31189de6","CREATE_ROOM","ROOM","7f27c86f-f6b3-4079-bdda-ce06d5b1b1fd","{}","{"status": "test"}","2026-07-03T10:28:58.256Z"
"09a2f8ad-d43b-4e87-9395-61018ad73b5f","189d0fa7-8e9b-4e9d-bbae-5b13808e930d","LOCK_USER","USER","4c8d4dff-8fe4-40b8-87ac-59ce3e51f1c4","{}","{"status": "test"}","2026-08-14T04:26:40.613Z"
"1c6566de-0814-41bd-81d6-b38ca2d089b9","f59dc375-16b1-4c5d-a2b0-786c31189de6","CREATE_TENANT","TENANT","fde248e2-5ffd-409e-ac39-21c424d0de5f","{}","{"status": "test"}","2026-07-03T10:14:53.914Z"
"f46cd067-8ddf-4cce-8602-0ec89d5eacd0","189d0fa7-8e9b-4e9d-bbae-5b13808e930d","CREATE_CONTRACT","USER","dc0dcea3-88bf-4dfc-b104-2756991331cf","{}","{"status": "test"}","2026-08-28T13:46:47.151Z"
"80cf5588-8851-48d9-94dd-163c33892da9","189d0fa7-8e9b-4e9d-bbae-5b13808e930d","CREATE_ROOM","ROOM","419d535b-4626-4a67-bab5-14e71d45793d","{}","{"status": "test"}","2026-07-22T10:30:40.560Z"
"b17172b7-102f-4613-987e-4181ebdd7023","58e00574-8f03-4147-9488-c7beb2525ebc","UPDATE_ROOM","ROOM","ffd6b381-bc39-491c-90c3-c2ff9970d6ea","{}","{"status": "test"}","2026-07-26T05:21:23.846Z"
"232bb510-ca07-456f-a5f2-231503b44faf","f59dc375-16b1-4c5d-a2b0-786c31189de6","CREATE_TENANT","TENANT","a526ed02-9b2b-4234-94eb-a02bf592d2e4","{}","{"status": "test"}","2026-08-20T13:52:43.714Z"
"ba25e1d9-58c6-4f9c-8098-536852711ea8","b9d58402-74ea-4b46-88ff-c1d95c31525c","LOCK_USER","USER","0154f78b-68ea-40e4-95e5-af6e4e8bfd16","{}","{"status": "test"}","2026-08-12T23:56:58.309Z"
"9bdaf8b3-e05a-4bf5-b0bc-95f6f6c34e7a","58e00574-8f03-4147-9488-c7beb2525ebc","UPDATE_ROOM","ROOM","0a4c1517-09ab-4044-968d-0d171892211d","{}","{"status": "test"}","2026-06-06T03:51:44.947Z"
"ca77fb3f-140c-479c-b8bd-116e7d4c5765","189d0fa7-8e9b-4e9d-bbae-5b13808e930d","LOCK_USER","USER","606e0630-5889-4420-ad6a-afa3c54443de","{}","{"status": "test"}","2026-08-25T05:45:11.478Z"
