id,user_id,title,content,type,is_read,created_at
"6209613f-8355-4f9f-b09c-afb934b56235","bb5be24f-bdbe-48fd-be27-d5ef8cbf6908","Thông báo hệ thống","Hợp đồng sắp hết hạn...","SYSTEM","true","2026-08-29T13:13:51.885Z"
"91e875ab-f1f8-49f0-9877-798f88ef378f","f59dc375-16b1-4c5d-a2b0-786c31189de6","Thông báo hệ thống","Hợp đồng sắp hết hạn...","SYSTEM","false","2026-08-29T13:13:51.886Z"
"d73e5057-a9ab-4b30-ac8a-54d2be097c99","58e00574-8f03-4147-9488-c7beb2525ebc","Thông báo hệ thống","Hợp đồng sắp hết hạn...","SYSTEM","false","2026-08-29T13:13:51.886Z"
"e4bb342e-12f0-4c8e-ae30-996ffa1d5340","189d0fa7-8e9b-4e9d-bbae-5b13808e930d","Thông báo hệ thống","Hợp đồng sắp hết hạn...","SYSTEM","false","2026-08-29T13:13:51.886Z"
"3bef9451-1f80-4a4b-96b8-7703492ae6f3","58e00574-8f03-4147-9488-c7beb2525ebc","Thông báo hệ thống","Hợp đồng sắp hết hạn...","SYSTEM","true","2026-08-29T13:13:51.886Z"
"5601e288-b1fe-4b1a-b925-0646355aac2b","bb5be24f-bdbe-48fd-be27-d5ef8cbf6908","Thông báo hệ thống","Hợp đồng sắp hết hạn...","SYSTEM","true","2026-08-29T13:13:51.886Z"
"8990d168-3c2c-45cf-b4e4-2bbfac5ad74f","58e00574-8f03-4147-9488-c7beb2525ebc","Thông báo hệ thống","Hợp đồng sắp hết hạn...","SYSTEM","true","2026-08-29T13:13:51.886Z"
"ed201da2-0386-4e87-b964-63170a16e905","bb5be24f-bdbe-48fd-be27-d5ef8cbf6908","Thông báo hệ thống","Hợp đồng sắp hết hạn...","SYSTEM","true","2026-08-29T13:13:51.886Z"
"57ccb1db-da02-4ee4-8255-bebf5e378f88","189d0fa7-8e9b-4e9d-bbae-5b13808e930d","Thông báo hệ thống","Hợp đồng sắp hết hạn...","SYSTEM","false","2026-08-29T13:13:51.886Z"
"107600df-8564-49c9-aac4-d63b5b4de87e","bb5be24f-bdbe-48fd-be27-d5ef8cbf6908","Thông báo hệ thống","Hợp đồng sắp hết hạn...","SYSTEM","false","2026-08-29T13:13:51.886Z"
"c6036d70-8193-4efc-98b7-932740a9f3ab","58e00574-8f03-4147-9488-c7beb2525ebc","Thông báo hệ thống","Hợp đồng sắp hết hạn...","SYSTEM","true","2026-08-29T13:13:51.886Z"
"213117c8-f85f-449e-a908-1eee4b81daa2","189d0fa7-8e9b-4e9d-bbae-5b13808e930d","Thông báo hệ thống","Hợp đồng sắp hết hạn...","SYSTEM","false","2026-08-29T13:13:51.886Z"
"69c7b83e-f9b1-4ea9-9eac-a92252c4d7bc","58e00574-8f03-4147-9488-c7beb2525ebc","Thông báo hệ thống","Hợp đồng sắp hết hạn...","SYSTEM","false","2026-08-29T13:13:51.886Z"
"53bd1de4-7d83-4775-8e66-b5b4b211c652","b9d58402-74ea-4b46-88ff-c1d95c31525c","Thông báo hệ thống","Hợp đồng sắp hết hạn...","SYSTEM","false","2026-08-29T13:13:51.886Z"
"6543bd13-1f7c-46b7-a9c6-7050e93c5a36","b9d58402-74ea-4b46-88ff-c1d95c31525c","Thông báo hệ thống","Hợp đồng sắp hết hạn...","SYSTEM","false","2026-08-29T13:13:51.886Z"
"cfd24206-94d9-4fe8-b56d-b9f105adf03f","b9d58402-74ea-4b46-88ff-c1d95c31525c","Thông báo hệ thống","Hợp đồng sắp hết hạn...","SYSTEM","true","2026-08-29T13:13:51.886Z"
"90302575-362a-424f-84c3-573d90bbd49d","189d0fa7-8e9b-4e9d-bbae-5b13808e930d","Thông báo hệ thống","Hợp đồng sắp hết hạn...","SYSTEM","true","2026-08-29T13:13:51.886Z"
"3eda6948-9363-4019-aaec-003033945921","b9d58402-74ea-4b46-88ff-c1d95c31525c","Thông báo hệ thống","Hợp đồng sắp hết hạn...","SYSTEM","true","2026-08-29T13:13:51.886Z"
"99d69fa1-f7f7-4427-9177-9b67da4aabc3","bb5be24f-bdbe-48fd-be27-d5ef8cbf6908","Thông báo hệ thống","Hợp đồng sắp hết hạn...","SYSTEM","false","2026-08-29T13:13:51.886Z"
"4000a593-b4a6-49c7-805f-b42ed48227f1","f59dc375-16b1-4c5d-a2b0-786c31189de6","Thông báo hệ thống","Hợp đồng sắp hết hạn...","SYSTEM","false","2026-08-29T13:13:51.886Z"
