id,room_number,room_type,price,area,status,description
"3d1568a8-cf3b-4687-b130-acbb173d9af0","101","Phòng Đơn","4000000","21","AVAILABLE","Phòng đầy đủ nội thất cơ bản"
"96aecd32-aa36-4617-84ae-1b23d38aa8b8","102","Phòng Đôi","5000000","27","AVAILABLE","Phòng đầy đủ nội thất cơ bản"
"9a70f481-b4e6-4022-bd81-b638d85768d5","103","Phòng Đôi","6000000","21","AVAILABLE","Phòng đầy đủ nội thất cơ bản"
"69bfa5a2-4222-481f-ade1-5f976c4d5dae","104","Căn Hộ Mini","4000000","31","AVAILABLE","Phòng đầy đủ nội thất cơ bản"
"5baf4405-f6fd-4c18-a6e9-9e2b790e015f","105","Studio","5000000","24","AVAILABLE","Phòng đầy đủ nội thất cơ bản"
"6ec4a3d3-f65c-4973-9dcc-a3a79a5ac0d0","106","Căn Hộ Mini","7000000","23","AVAILABLE","Phòng đầy đủ nội thất cơ bản"
"bb66d306-e8bc-4d02-a838-7ff175c956cf","107","Phòng Đôi","5000000","29","AVAILABLE","Phòng đầy đủ nội thất cơ bản"
"a8864bec-faa6-4606-aa5f-8f8e7f389d27","108","Phòng Đơn","5000000","22","AVAILABLE","Phòng đầy đủ nội thất cơ bản"
"56212fcf-836f-4740-b553-c8c403d3f285","109","Phòng Đôi","5000000","19","AVAILABLE","Phòng đầy đủ nội thất cơ bản"
"dca14792-4bd6-4729-9994-77ef6dad523b","110","Căn Hộ Mini","3000000","29","AVAILABLE","Phòng đầy đủ nội thất cơ bản"
"901d29be-cb69-4f2c-a953-aa137c2c7a1f","111","Phòng Đôi","6000000","26","RENTED","Phòng đầy đủ nội thất cơ bản"
"8b323e4a-ad4f-4540-98c8-fe04766e072a","112","Căn Hộ Mini","7000000","20","RENTED","Phòng đầy đủ nội thất cơ bản"
"ef7b686f-c8a4-4a06-9527-023916ebb1e3","113","Phòng Đôi","3000000","23","RENTED","Phòng đầy đủ nội thất cơ bản"
"2c6d9ef1-f798-46e2-8b36-0cdd29e3b558","114","Studio","4000000","24","RENTED","Phòng đầy đủ nội thất cơ bản"
"c5c8dde3-c482-44d7-bc8d-e2fb56bbdbcc","115","Studio","7000000","33","RENTED","Phòng đầy đủ nội thất cơ bản"
"b16a04b3-6997-4288-a88a-c71a94ed76c9","116","Căn Hộ Mini","4000000","24","RENTED","Phòng đầy đủ nội thất cơ bản"
"32175810-8f1e-45df-becb-993f3db4c70c","117","Studio","7000000","18","RENTED","Phòng đầy đủ nội thất cơ bản"
"a3a12755-2408-4db7-be8e-82b61b20a635","118","Studio","3000000","21","RENTED","Phòng đầy đủ nội thất cơ bản"
"37b37bdd-fdb7-47d7-a7c8-fd0fe7ab5bd7","119","Phòng Đơn","5000000","23","RENTED","Phòng đầy đủ nội thất cơ bản"
"467fc29f-30e2-461a-bc49-537660392a1d","120","Phòng Đôi","7000000","31","RENTED","Phòng đầy đủ nội thất cơ bản"
"bc82e59e-845e-45d0-b9f8-d9c1bc92a192","121","Phòng Đơn","3000000","16","RENTED","Phòng đầy đủ nội thất cơ bản"
"bd7fa4f5-6487-4e99-87f2-fd7b9b53f248","122","Căn Hộ Mini","6000000","22","RENTED","Phòng đầy đủ nội thất cơ bản"
"6b5b9fde-4670-447a-9474-6c039a3a20b7","123","Căn Hộ Mini","7000000","17","RENTED","Phòng đầy đủ nội thất cơ bản"
"2113ef9d-0dce-44e8-94d1-a552db0ff0d8","124","Phòng Đơn","6000000","22","RENTED","Phòng đầy đủ nội thất cơ bản"
"5e92079a-970f-4996-a7de-459db91afa63","125","Phòng Đơn","6000000","17","RENTED","Phòng đầy đủ nội thất cơ bản"
"8a2d750e-ab10-4577-83e0-ceaa2732db8b","126","Căn Hộ Mini","3000000","31","RENTED","Phòng đầy đủ nội thất cơ bản"
"6dd0b088-fb7f-4fee-bbcf-298ae3bd36a6","127","Phòng Đơn","6000000","18","RENTED","Phòng đầy đủ nội thất cơ bản"
"97184b2f-5484-483a-adb0-a07d1241a88a","128","Phòng Đôi","3000000","16","RENTED","Phòng đầy đủ nội thất cơ bản"
"7f8c5b3c-d628-4911-91bc-0b2f2c1da240","129","Phòng Đôi","5000000","27","RENTED","Phòng đầy đủ nội thất cơ bản"
